,,,,,,,,,
,,,,,,,,,
Cuenta de TIPO,,,,,,,,,
,,,2016,2017,2018,2019,2020,2021,2022
INGRESO,FACULTAD,CARRERA,,,,,,,
1er CUAT.,,,50833,53383,58626,62054,63092,66651,63044
,Agronomia,,687,664,667,678,707,906,675
,,Agronomía,271,242,274,250,254,333,306
,,Licenciatura en Ciencias Ambientales,168,157,135,160,191,222,151
,,Licenciatura en Economía y Administración Agrarias,40,40,51,45,46,66,44
,,Licenciatura en Gestión de Agroalimentos,2,6,10,20,12,11,10
,,Martillero y Corredor Público Rural,2,2,17,3,10,,
,,Prof. Enseñanza Secundaria y Superior en Ciencias Ambientales,,,,,,,2
,,Tecnicatura en Floricultura,27,26,19,20,32,41,23
,,Tecnicatura en Jardinería,46,54,49,50,47,67,43
,,Tecnicatura en Producción Vegetal Orgánica,92,74,59,78,62,93,49
,,Tecnicatura en Turismo Rural,39,63,53,52,53,73,47
,Arquitectura Y Urbanismo,,6057,5901,6428,6644,7044,7694,7267
,,Arquitectura,2166,2142,2332,2585,2647,2762,2746
,,Diseño de Imagen y Sonido,926,937,991,1019,1097,1076,890
,,Diseño de Indumentaria,92,155,322,1021,1040,1321,1291
,,Diseño de Indumentaria y Textil,880,760,676,,,,
,,Diseño Gráfico,1379,1336,1446,1472,1674,2079,1923
,,Diseño Industrial,551,499,564,444,485,318,291
,,Diseño Textil,,2,18,29,27,33,34
,,Licenciatura en Planificación y Diseño del Paisaje,63,70,79,74,74,105,92
,Ciencias Economicas,,6648,6949,7545,7569,7422,6620,7550
,,Actuario (Administración),165,174,236,334,373,367,442
,,Actuario (Economía),153,213,264,363,392,365,426
,,Contador Público,2800,2905,2929,2852,2655,2304,2800
,,Licenciatura en Administración,2489,2623,2887,2628,2546,2413,2409
,,Licenciatura en Economía,880,870,1030,1136,1183,930,1153
,,Licenciatura en Sistemas de Información de las Organizaciones,161,164,199,256,273,241,320
,Ciencias Sociales,,3768,3741,3893,3778,3426,3177,2251
